SA2_CODE,STATE,SA2_NAME,TIME,VALUE
11001,NSW,Goulburn,1991,22104
11001,NSW,Goulburn,1992,22044
11001,NSW,Goulburn,1993,21946
11001,NSW,Goulburn,1994,21847
11001,NSW,Goulburn,1995,21749
11001,NSW,Goulburn,1996,21710
11001,NSW,Goulburn,1997,21616
11001,NSW,Goulburn,1998,21545
11001,NSW,Goulburn,1999,21514
11001,NSW,Goulburn,2000,21475
11001,NSW,Goulburn,2001,21460
11001,NSW,Goulburn,2002,21370
11001,NSW,Goulburn,2003,21282
11001,NSW,Goulburn,2004,21190
11001,NSW,Goulburn,2005,21120
11001,NSW,Goulburn,2006,21024
11001,NSW,Goulburn,2007,21053
11001,NSW,Goulburn,2008,21281
11001,NSW,Goulburn,2009,21629
11001,NSW,Goulburn,2010,21973
11001,NSW,Goulburn,2011,22202
11001,NSW,Goulburn,2012,22508
11001,NSW,Goulburn,2013,22787
11001,NSW,Goulburn,2014,22891
11001,NSW,Goulburn,2015,23138
11001,NSW,Goulburn,2016,23397
11002,NSW,Goulburn Region,1991,10128
11002,NSW,Goulburn Region,1992,10153
11002,NSW,Goulburn Region,1993,10154
11002,NSW,Goulburn Region,1994,10153
11002,NSW,Goulburn Region,1995,10152
11002,NSW,Goulburn Region,1996,10197
11002,NSW,Goulburn Region,1997,10227
11002,NSW,Goulburn Region,1998,10400
11002,NSW,Goulburn Region,1999,10570
11002,NSW,Goulburn Region,2000,10694
11002,NSW,Goulburn Region,2001,10839
11002,NSW,Goulburn Region,2002,11003
11002,NSW,Goulburn Region,2003,11107
11002,NSW,Goulburn Region,2004,11183
11002,NSW,Goulburn Region,2005,11329
11002,NSW,Goulburn Region,2006,11450
11002,NSW,Goulburn Region,2007,11495
11002,NSW,Goulburn Region,2008,11657
11002,NSW,Goulburn Region,2009,11783
11002,NSW,Goulburn Region,2010,11907
11002,NSW,Goulburn Region,2011,11956
11002,NSW,Goulburn Region,2012,12105
11002,NSW,Goulburn Region,2013,12299
11002,NSW,Goulburn Region,2014,12478
11002,NSW,Goulburn Region,2015,12528
11002,NSW,Goulburn Region,2016,12511
11003,NSW,Yass,1991,5010
11003,NSW,Yass,1992,5028
11003,NSW,Yass,1993,5035
11003,NSW,Yass,1994,5041
11003,NSW,Yass,1995,5049
11003,NSW,Yass,1996,5077
11003,NSW,Yass,1997,5128
11003,NSW,Yass,1998,5169
11003,NSW,Yass,1999,5227
11003,NSW,Yass,2000,5281
11003,NSW,Yass,2001,5342
11003,NSW,Yass,2002,5444
11003,NSW,Yass,2003,5588
11003,NSW,Yass,2004,5651
11003,NSW,Yass,2005,5684
11003,NSW,Yass,2006,5747
11003,NSW,Yass,2007,5822
11003,NSW,Yass,2008,5953
11003,NSW,Yass,2009,6168
11003,NSW,Yass,2010,6404
11003,NSW,Yass,2011,6549
11003,NSW,Yass,2012,6688
11003,NSW,Yass,2013,6760
11003,NSW,Yass,2014,6734
11003,NSW,Yass,2015,6717
11003,NSW,Yass,2016,6824
11004,NSW,Yass Region,1991,7140
11004,NSW,Yass Region,1992,7245
11004,NSW,Yass Region,1993,7332
11004,NSW,Yass Region,1994,7418
11004,NSW,Yass Region,1995,7504
11004,NSW,Yass Region,1996,7624
11004,NSW,Yass Region,1997,7818
11004,NSW,Yass Region,1998,7933
11004,NSW,Yass Region,1999,7961
11004,NSW,Yass Region,2000,8118
11004,NSW,Yass Region,2001,8258
11004,NSW,Yass Region,2002,8526
11004,NSW,Yass Region,2003,8793
11004,NSW,Yass Region,2004,9007
11004,NSW,Yass Region,2005,9158
11004,NSW,Yass Region,2006,9355
11004,NSW,Yass Region,2007,9723
11004,NSW,Yass Region,2008,10007
11004,NSW,Yass Region,2009,10276
11004,NSW,Yass Region,2010,10566
11004,NSW,Yass Region,2011,10840
11004,NSW,Yass Region,2012,11133
11004,NSW,Yass Region,2013,11341
11004,NSW,Yass Region,2014,11536
11004,NSW,Yass Region,2015,11710
11004,NSW,Yass Region,2016,11936
11005,NSW,Young,1991,9173
11005,NSW,Young,1992,9244
11005,NSW,Young,1993,9295
11005,NSW,Young,1994,9342
11005,NSW,Young,1995,9391
11005,NSW,Young,1996,9481
11005,NSW,Young,1997,9545
11005,NSW,Young,1998,9586
11005,NSW,Young,1999,9660
11005,NSW,Young,2000,9729
11005,NSW,Young,2001,9811
11005,NSW,Young,2002,9871
11005,NSW,Young,2003,9953
11005,NSW,Young,2004,10045
11005,NSW,Young,2005,10157
11005,NSW,Young,2006,10269
11005,NSW,Young,2007,10314
11005,NSW,Young,2008,10356
11005,NSW,Young,2009,10428
11005,NSW,Young,2010,10542
11005,NSW,Young,2011,10605
11005,NSW,Young,2012,10689
11005,NSW,Young,2013,10719
11005,NSW,Young,2014,10668
11005,NSW,Young,2015,10636
11005,NSW,Young,2016,10661
11006,NSW,Young Region,1991,8112
11006,NSW,Young Region,1992,8037
11006,NSW,Young Region,1993,7944
11006,NSW,Young Region,1994,7850
11006,NSW,Young Region,1995,7757
11006,NSW,Young Region,1996,7697
11006,NSW,Young Region,1997,7634
11006,NSW,Young Region,1998,7650
11006,NSW,Young Region,1999,7644
11006,NSW,Young Region,2000,7655
11006,NSW,Young Region,2001,7660
11006,NSW,Young Region,2002,7570
11006,NSW,Young Region,2003,7522
11006,NSW,Young Region,2004,7474
11006,NSW,Young Region,2005,7443
11006,NSW,Young Region,2006,7439
11006,NSW,Young Region,2007,7400
11006,NSW,Young Region,2008,7416
11006,NSW,Young Region,2009,7461
11006,NSW,Young Region,2010,7558
11006,NSW,Young Region,2011,7623
11006,NSW,Young Region,2012,7688
11006,NSW,Young Region,2013,7723
11006,NSW,Young Region,2014,7739
11006,NSW,Young Region,2015,7712
11006,NSW,Young Region,2016,7739
11007,NSW,Braidwood,1991,2418
11007,NSW,Braidwood,1992,2441
11007,NSW,Braidwood,1993,2458
11007,NSW,Braidwood,1994,2474
11007,NSW,Braidwood,1995,2491
11007,NSW,Braidwood,1996,2519
11007,NSW,Braidwood,1997,2492
11007,NSW,Braidwood,1998,2493
11007,NSW,Braidwood,1999,2593
11007,NSW,Braidwood,2000,2708
11007,NSW,Braidwood,2001,2760
11007,NSW,Braidwood,2002,2811
11007,NSW,Braidwood,2003,2835
11007,NSW,Braidwood,2004,2844
11007,NSW,Braidwood,2005,2847
11007,NSW,Braidwood,2006,2965
11007,NSW,Braidwood,2007,3102
11007,NSW,Braidwood,2008,3181
11007,NSW,Braidwood,2009,3308
11007,NSW,Braidwood,2010,3429
11007,NSW,Braidwood,2011,3458
11007,NSW,Braidwood,2012,3555
11007,NSW,Braidwood,2013,3612
11007,NSW,Braidwood,2014,3633
11007,NSW,Braidwood,2015,3706
11007,NSW,Braidwood,2016,3768
11008,NSW,Karabar,1991,8108
11008,NSW,Karabar,1992,8405
11008,NSW,Karabar,1993,8599
11008,NSW,Karabar,1994,8699
11008,NSW,Karabar,1995,8803
11008,NSW,Karabar,1996,8873
11008,NSW,Karabar,1997,8986
11008,NSW,Karabar,1998,8962
11008,NSW,Karabar,1999,8999
11008,NSW,Karabar,2000,9063
11008,NSW,Karabar,2001,9129
11008,NSW,Karabar,2002,9199
11008,NSW,Karabar,2003,9263
11008,NSW,Karabar,2004,9277
11008,NSW,Karabar,2005,9209
11008,NSW,Karabar,2006,9212
11008,NSW,Karabar,2007,9033
11008,NSW,Karabar,2008,8994
11008,NSW,Karabar,2009,9030
11008,NSW,Karabar,2010,9101
11008,NSW,Karabar,2011,9092
11008,NSW,Karabar,2012,9122
11008,NSW,Karabar,2013,9061
11008,NSW,Karabar,2014,9051
11008,NSW,Karabar,2015,8985
11008,NSW,Karabar,2016,9062
11009,NSW,Queanbeyan,1991,9978
11009,NSW,Queanbeyan,1992,9925
11009,NSW,Queanbeyan,1993,9665
11009,NSW,Queanbeyan,1994,9573
11009,NSW,Queanbeyan,1995,9437
11009,NSW,Queanbeyan,1996,9404
11009,NSW,Queanbeyan,1997,9463
11009,NSW,Queanbeyan,1998,9502
11009,NSW,Queanbeyan,1999,9574
11009,NSW,Queanbeyan,2000,9639
11009,NSW,Queanbeyan,2001,9717
11009,NSW,Queanbeyan,2002,9513
11009,NSW,Queanbeyan,2003,9522
11009,NSW,Queanbeyan,2004,9400
11009,NSW,Queanbeyan,2005,9595
11009,NSW,Queanbeyan,2006,9682
11009,NSW,Queanbeyan,2007,9793
11009,NSW,Queanbeyan,2008,10074
11009,NSW,Queanbeyan,2009,10288
11009,NSW,Queanbeyan,2010,10584
11009,NSW,Queanbeyan,2011,10715
11009,NSW,Queanbeyan,2012,10871
11009,NSW,Queanbeyan,2013,11042
11009,NSW,Queanbeyan,2014,11188
11009,NSW,Queanbeyan,2015,11133
11009,NSW,Queanbeyan,2016,11209
11010,NSW,Queanbeyan - East,1991,3431
11010,NSW,Queanbeyan - East,1992,3424
11010,NSW,Queanbeyan - East,1993,3415
11010,NSW,Queanbeyan - East,1994,3404
11010,NSW,Queanbeyan - East,1995,3357
11010,NSW,Queanbeyan - East,1996,3360
11010,NSW,Queanbeyan - East,1997,3506
11010,NSW,Queanbeyan - East,1998,3532
11010,NSW,Queanbeyan - East,1999,3735
11010,NSW,Queanbeyan - East,2000,3807
11010,NSW,Queanbeyan - East,2001,3925
11010,NSW,Queanbeyan - East,2002,4073
11010,NSW,Queanbeyan - East,2003,4219
11010,NSW,Queanbeyan - East,2004,4218
11010,NSW,Queanbeyan - East,2005,4187
11010,NSW,Queanbeyan - East,2006,4319
11010,NSW,Queanbeyan - East,2007,4459
11010,NSW,Queanbeyan - East,2008,4595
11010,NSW,Queanbeyan - East,2009,4712
11010,NSW,Queanbeyan - East,2010,4813
